Cod Art,Cod Unico Art,Desc Art,Desc Marca Art,Desc Familia Art,Cod Barra Art
81475,R-00081475-G,HEADSET HS33 GS4,SAMSUNG,AURICULAR,8806085524217
81448,R-00077407-G,SAMS B5510 COOLGRAY COMBO,SAMSUNG,CELULARES LIBRES,
81445,R-00076996-G,SAMS B5510 BCO LIB COMBO,SAMSUNG,CELULARES LIBRES,
81444,R-00077408-G,SAMS B5510 BCO LIB COMBO,SAMSUNG,CELULARES LIBRES,
8144,Sin Codigo Unico,CAR AMARI P/PLOTER HP 450,HP,CARTUCHOS,
8143,Sin Codigo Unico,CAR CYAN  P/PLOTER HP 450,HP,CARTUCHOS,
81428,R-00081428-G,BAT-MAN HM0401AR MOD,MOULINEX,BATIDORAS (MANUAL),7798122111102
8142,Sin Codigo Unico,CAR MAGEN P/PLOTER HP 450,HP,CARTUCHOS,
81414,R-00081414-G,SAMS GALA FAM S6810 AZUTC,SAMSUNG,CELULARES LIBRES,2946140162520
81414,R-00081414-G,SAMS GALA FAM S6810 AZUTC,SAMSUNG,CELULARES LIBRES,2946140162520;
81413,R-00081413-G,SAMS GALA FAM S6810 BCOTC,SAMSUNG,CELULARES LIBRES,8806085658264
81411,R-00081411-G,SAMS GALA POCS5301 ROSTDF,SAMSUNG,CELULARES LIBRES,8806085450288;
8141,Sin Codigo Unico,CAR NEGRO P/PLOTER HP 450,HP,CARTUCHOS,
81395,R-00081395-G,ZTE UX990 NEG DUAL SIM,ZTE,CELULARES LIBRES,7796886050927;
81387,R-00081387-G,BLACKB 9320 FUCSIA LIB,BLACKBERRY,CELULARES LIBRES,802975665358;
81386,R-00081386-G,BLACKB 9320 NEGRO LIB,BLACKBERRY,CELULARES LIBRES,802975663590;
81380,R-00081380-G,ASP-AS3207 P/AUTO MOD,YELMO,ASPIRADORAS,
81379,R-00081379-G,ASP AS4209 1600W,ULTRACOMB,ASPIRADORAS,7790368021153;
81374,R-00081374-G,AFE-SERIES 720S6 MOD,BRAUN,AFEITADORAS,
81372,R-00081372-G,SAMS GALAX S4 I9500 BCO,SAMSUNG,CELULARES LIBRES,8806085571563;
81371,R-00081371-G,SAM GALAX S4 I9500 NEG,SAMSUNG,CELULARES LIBRES,8806085571600
81313,R-00078253-G,SAMS E1260 NEG COMBO,SAMSUNG,CELULARES LIBRES,
81312,R-00078252-G,SAMS E1260 BCO COMBO,SAMSUNG,CELULARES LIBRES,
81311,R-00072820-G,SAMS E1195 AZU LIB COMBO,SAMSUNG,CELULARES LIBRES,
81310,R-00072821-G,SAMS E1195 ROJ LIB COMBO,SAMSUNG,CELULARES LIBRES,
81309,R-00072819-G,SAMS E1195 GRI LIB COMBO,SAMSUNG,CELULARES LIBRES,
81308,R-00080833-G,MOD C.DIG GC-XA1 ADIXXION,JVC,CAMARAS DIGITALES,
81296,R-00081128-G,NOKIA LUM 620 NEG + X-BOX,NOKIA,CELULARES LIBRES,
81295,R-00081220-G,NOKIA LUM 620 BCO + X-BOX,NOKIA,CELULARES LIBRES,
81294,R-00081128-G,NOKIA LUM 620 NEG + NOTB,NOKIA,CELULARES LIBRES,
81293,R-00081220-G,NOKIA LUM 620 BCO + NOTB,NOKIA,CELULARES LIBRES,
81277,R-00044904-C,AUR.LOWRIDER S5LWFY-210SK,SKULL CANDY,AURICULARES,
81271,R-00081271-G,"LG OPTIM E987 ""G"" BCO LIB",LG,CELULARES LIBRES,7798083388278;
81270,R-00081270-G,CART 662 BLACK CZ103AL,HP,CARTUCHOS,2946140504368
81257,R-00080113-G,AFE SMARTSHAVER PQ222 -C,PHILIPS,AFEITADORAS,
81256,R-00081256-G,SAMS GALAX S3 ROJ LIB,SAMSUNG,CELULARES LIBRES,8806085291027;
81252,R-00079143-G,ASP CFS7164 1600W S/BOLSA,CANDY,ASPIRADORAS,
